,Date,Hospitalized,Death,Death Increase,Negative Tests,Negative Tests Increase,Positive Tests,Positive Tests Increase,Total Test Results,Total Test Results Increase
0,2021-03-07,776361.0,515151.0,842,74582825.0,131835,28756489.0,41835,363825123,1170059
1,2021-03-06,775635.0,514309.0,1680,74450990.0,143835,28714654.0,60015,362655064,1430992
2,2021-03-05,775132.0,512629.0,2221,74307155.0,271917,28654639.0,68787,361224072,1744417
3,2021-03-04,772351.0,510408.0,1743,74035238.0,177957,28585852.0,65487,359479655,1590984
4,2021-03-03,770821.0,508665.0,2449,73857281.0,267001,28520365.0,66836,357888671,1406795
5,2021-03-02,768649.0,506216.0,1728,73590280.0,255779,28453529.0,54248,356481876,1343519
6,2021-03-01,766778.0,504488.0,1241,73334501.0,118077,28399281.0,48092,355138357,1154440
7,2021-02-28,765754.0,503247.0,1051,73216424.0,203599,28351189.0,54349,353983917,1408422
8,2021-02-27,764875.0,502196.0,1847,73012825.0,205090,28296840.0,71245,352575495,1655179
9,2021-02-26,763447.0,500349.0,2141,72807735.0,276829,28225595.0,74857,350920316,1803309
10,2021-02-25,761579.0,498208.0,3138,72530906.0,272209,28150738.0,75565,349117007,1826144
11,2021-02-24,759532.0,495070.0,2447,72258697.0,245318,28075173.0,73258,347290863,1450666
12,2021-02-23,757360.0,492623.0,2241,72013379.0,225267,28001915.0,69105,345840197,1193835
13,2021-02-22,755196.0,490382.0,1235,71788112.0,123611,27932810.0,52530,344646362,1201247
14,2021-02-21,753891.0,489147.0,1287,71664501.0,156778,27880280.0,58702,343445115,1232995
15,2021-02-20,752894.0,487860.0,2160,71507723.0,141790,27821578.0,72354,342212120,1290481
16,2021-02-19,751162.0,485700.0,2477,71365933.0,224755,27749224.0,74676,340921639,1878033
17,2021-02-18,748488.0,483223.0,2616,71141178.0,218491,27674548.0,66824,339043606,1345849
18,2021-02-17,745991.0,480607.0,2348,70922687.0,233666,27607724.0,66839,337697757,1298421
19,2021-02-16,743134.0,478259.0,1353,70689021.0,101102,27540885.0,56312,336399336,1053698
20,2021-02-15,741040.0,476906.0,1078,70587919.0,143388,27484573.0,55077,335345638,1123560
21,2021-02-14,739910.0,475828.0,1366,70444531.0,171877,27429496.0,72164,334222078,1439631
22,2021-02-13,738674.0,474462.0,3467,70272654.0,234293,27357332.0,90642,332782447,1757608
23,2021-02-12,736869.0,470995.0,5427,70038361.0,255983,27266690.0,101030,331024839,1812454
24,2021-02-11,734522.0,465568.0,3873,69782378.0,260124,27165660.0,102417,329212385,1855929
25,2021-02-10,732062.0,461695.0,3445,69522254.0,155861,27063243.0,95194,327356456,1382709
26,2021-02-09,728836.0,458250.0,2795,69366393.0,337168,26968049.0,92986,325973747,1488481
27,2021-02-08,725692.0,455455.0,1309,69029225.0,142156,26875063.0,77737,324485266,1400009
28,2021-02-07,724054.0,454146.0,1475,68887069.0,208303,26797326.0,95994,323085257,1498808
29,2021-02-06,722511.0,452671.0,2994,68678766.0,282477,26701332.0,114557,321586449,1888854
30,2021-02-05,720068.0,449677.0,3543,68396289.0,270754,26586775.0,131146,319697595,1868496
31,2021-02-04,717128.0,446134.0,5212,68125535.0,217496,26455629.0,123907,317829099,1663995
32,2021-02-03,713726.0,440922.0,3685,67908039.0,224499,26331722.0,116960,316165104,1384881
33,2021-02-02,709751.0,437237.0,3486,67683540.0,167082,26214762.0,117616,314780223,1385595
34,2021-02-01,706466.0,433751.0,1562,67516458.0,344975,26097146.0,120200,313394628,1507545
35,2021-01-31,704700.0,432189.0,2059,67171483.0,224593,25976946.0,119367,311887083,1725724
36,2021-01-30,702529.0,430130.0,2982,66946890.0,232299,25857579.0,148824,310161359,2139579
37,2021-01-29,699382.0,427148.0,3503,66714591.0,284168,25708755.0,167111,308021780,1955101
38,2021-01-28,696547.0,423645.0,4011,66430423.0,269667,25541644.0,157306,306066679,1936761
39,2021-01-27,693047.0,419634.0,4077,66160756.0,244553,25384338.0,153985,304129918,1626393
40,2021-01-26,688913.0,415557.0,3734,65916203.0,377450,25230353.0,146448,302503525,1733799
41,2021-01-25,685208.0,411823.0,1593,65538753.0,217006,25083905.0,133454,300769726,1630391
42,2021-01-24,682693.0,410230.0,1944,65321747.0,223447,24950451.0,144234,299139335,1792892
43,2021-01-23,680784.0,408286.0,3591,65098300.0,274547,24806217.0,177118,297346443,1990072
44,2021-01-22,674132.0,404695.0,3980,64823753.0,284392,24629099.0,190915,295356371,2022028
45,2021-01-21,669807.0,400715.0,3878,64539361.0,267695,24438184.0,186275,293334343,1933682
46,2021-01-20,665754.0,396837.0,4409,64271666.0,342450,24251909.0,189203,291400661,1851350
47,2021-01-19,660649.0,392428.0,2141,63929216.0,329847,24062706.0,146626,289549311,1596863
48,2021-01-18,657443.0,390287.0,1395,63599369.0,192825,23916080.0,150792,287952448,1771268
49,2021-01-17,654604.0,388892.0,2053,63406544.0,277842,23765288.0,187218,286181180,1916756
50,2021-01-16,652437.0,386839.0,3709,63128702.0,226342,23578070.0,218085,284264424,2116224
51,2021-01-15,648398.0,383130.0,3679,62902360.0,410997,23359985.0,246454,282148200,2309884
52,2021-01-14,644398.0,379451.0,3915,62491363.0,305894,23113531.0,225616,279838316,2048899
53,2021-01-13,640606.0,375536.0,4087,62185469.0,237885,22887915.0,224491,277789417,1827396
54,2021-01-12,635294.0,371449.0,4064,61947584.0,443993,22663424.0,218020,275962021,1944234
55,2021-01-11,630637.0,367385.0,1733,61503591.0,210610,22445404.0,195255,274017787,1695767
56,2021-01-10,627592.0,365652.0,2068,61292981.0,270382,22250149.0,228732,272322020,2051661
57,2021-01-09,625179.0,363584.0,3537,61022599.0,290183,22021417.0,269368,270270359,2137700
58,2021-01-08,618496.0,360047.0,3780,60732416.0,320284,21752049.0,295121,268132659,2146223
59,2021-01-07,613791.0,356267.0,4079,60412132.0,246578,21456928.0,272043,265986436,1928262
60,2021-01-06,608479.0,352188.0,3902,60165554.0,263088,21184885.0,250184,264058174,1650493
61,2021-01-05,601872.0,348286.0,3484,59902466.0,480256,20934701.0,219075,262407681,1721007
62,2021-01-04,597582.0,344802.0,1547,59422210.0,148614,20715626.0,179571,260686674,1512611
63,2021-01-03,593690.0,343255.0,1455,59273596.0,215583,20536055.0,208457,259174063,1444257
64,2021-01-02,591464.0,341800.0,2406,59058013.0,221792,20327598.0,280318,257729806,1934350
65,2021-01-01,588413.0,339394.0,2592,58836221.0,192048,20047280.0,182906,255795456,1545537
